Name,Course,Description,,,,,,,,,
Data Processing and Management,ECE560,"This main objective of this course is to train Mtech students in ECE, specially the CSP and CPS students, to be able to code end to end systems in Python. The course will fulfill a key gap that was highlighted during our interactions with industry and past students on increasing the ability of students to code what they learn during the Mtech program. The course will cover basics of Python, databases, data management methods and packages that include Pandas, SQLalchemy etc. Finally, the course will also cover tools and methods related to devops and end to end applications deployment, preferably through Jupyter notebooks and or flask frameworks. The course will be mainly hands on with assignments every week that will culminate in a sufficiently large and deployable project at the end of the semester. The students should be able to complement this course with their research interests in signal processing and machine learning so that they can code and test simple algorithms rapidly.		
",,,,,,,,,
Linear Systems Theory,ECE570,"This course aims to provide introductory knowledge in analyzing linear systems and designing suitable control algorithms for autonomous systems. This course covers modeling a system, analyzing the system's response in the time and frequency domain, and designing a feedback controller to control the system. The course will have an equal weightage on theoretical foundations and simulation-based implementation.",,,,,,,,,
Optimal Control Systems,ECE571,Optimal control systems is a topic that is widely used in several fields’ like transportation; aerospace bio-informatics and economics. The goal of this course is to provide advanced knowledge in formulating an optimal control problem; analyzing its properties and then solving the problem using various linear and nonlinear optimization based techniques. The course is theoretical but has implementation and problem solving components.,,,,,,,,,
Advanced Embedded Logic Design,ECE 573,"Embedded systems consisting of multi-core processors with co-processors as well as accelerators such as GPU and FPGA are widely being used in various wireless, multimedia, data centers, video processing and computer vision applications. The main focus of this course is to introduce various embedded system concepts via theory and lab sessions followed by building real-world embedded systems. In this course, students will learn hardware software co-design approach to learn how to implement the embedded systems on heterogenos SoC and optimize their area and power performance. In the theory part of the course, various concepts such as processor architecture, interrupts, cache system, direct memory access (DMA), co-processors, hardware-software co-design along with AXI protocol will be discussed in detail. Labs and assignments will focus on developing working programs that use various features and ports of SoC (Zybo, Zedboard and ZC706 platform) including GPIO, UART, ethernet, floating point unit (FPU), SIMD co-processor, interrupts, timers, DMA, DDR memory etc. Few weeks will be dedicated to implementation of machine learning algorithms on SoC via hardware-software co-design approach followed by projects exploring dynamic partial reconfigurations enabling real-time switch between the various ML algorithms",,,,,,,,,
Autonomous Driving,ECE581,The goal of this course is to provide hands-on-experience in implementing several modules of autonomous driving through software-in-the-loop and hardware-in-the-loop. This is a project-based course and covers modules on perception; path planning; and vehicle control for autonomous driving. The course is mainly designed towards implementation and hence intensive programming is involved in C++ or Python. The course will use Mahindra e20 and auto-rickshaw as the hardware testbeds.,,,,,,,,,
Stochastic Estimation and Control,ECE672,This course deals with the estimation of dynamical systems. We will begin with an introduction of probability; random variables; stochastic differentialequations; and basics in parameter estimation. These concepts will then be applied to state-space descriptions of linear systems following up to the Kalman filter. Nonlinear estimation methods such as the extended Kalman filter and particle filter will be introduced.,,,,,,,,,
Macroeconomics,ECO201,This course will introduce basic models of macroeconomics along with real-world examples from various industrialized and developing economies. It will provide a unified framework to analyze aggregate behavior of agents in an economy using aggregate demand and supply analysis. We will study the impact of monetary policy and fiscal policy options on economic growth; labor market wages; income distribution; exchange rates; etc. in the short-run; medium-run; and long-run.,,,,,,,,,
Econometrics I,ECO221,We will review working with expectation operators and matrix algebra. We will study various statistical models utlizied to test theoretical economic relationships; analyze historical economic events; and conduct economic policy evaluation. Simple and multiple regression using ordinary least squares estimation; maximum likelihood estimation; and generalized least squares estimation will be covered in detail. We will learn tools of basic statistical inference and diagnostics for these models. Time-allowing; we will study logit and probit regressions to handle discrete choices (e.g. Yes/No choice scenarios). basic time-series analyses with tests and controls for trends; seasonality; and autocorrelation.,,,,,,,,,
Money and Banking,ECO223,"This course studies how financial markets and institutions work by exploring the role of money in the economy. The study of money, banking and financial markets will reward you with an understanding of many exciting issues like financial crises, money and business cycles. The course will cover three broad areas (i) how financial markets (bond, stocks) work (ii) structure of financial institutions helping to understand financial crises and the subprime meltdown and (iii) monetary theory and policy to help explain different practical situations in banking and finance.",,,,,,,,,
Microeconomics,ECO301,"The aim of the course is to deliver thorough understanding of the core concepts and methods of microeconomics. We will analyse the way in which the market system functions as a mechanism for coordinating the independent choices of individual economic agents. The course will develop a basis for evaluating the efficiency and equity implications of competition and other market structures, and a perspective on the appropriate role of government. Included areas are the study of consumer choice, production and cost theory, market structure, and market failure. Students will develop their understanding of economic models specified in standard mathematical terms. Towards the end of the course, students will be able to assess the real microeconomic situations using the tools learnt in the course.",,,,,,,,,
Game Theory,ECO311/ECO511,	Game Theory is a fundamental analytical tool in Economics alongwith Price Theory. Game theoretic modeling and strategic analysis as a distinct methodology has been a major intellectual achievement of the past century not only within the Economics discipline but more broadly in the Social Sciences. The course requires and further develops conceptual thinking as well as problem solving abilities of students.,,,,,,,,,
Industrial Organization,ECO312/ECO512,"This course will introduce basic theoretical models of IO. It will implement applied microenomic theory and game theory to understand how firms take decisions in various settings. The models include profir maximization when there is market power, advertising, heterogeneity in quality, vertical control, models of entry, accomodation and exit, and many others. The course helps one understand how to set up an objective function for a firm facing different challenges in a complex market structure. It will aid the student in understanding real world scenarios. Finally there will also be a short section on some empirical methods used in IO. IO has grown into one of the fundamental fields within economics, and is essential in order to gain a broader understanding of the subject.",,,,,,,,,
Market Design,ECO313,The theory of auctions has been one of the most important successes of applied game theory. It has become a central institution for resource allocation in real world markets; instrumental in allocating resources as varied as natural resources; spectrum rights; electricity generating capacity and more. This course aims to prepare the students to be able to analyze auctions and internet marketplaces using tools from economics and game theory.,,,,,,,,,
Econometrics II,ECO 322/522,This course will provide training in advanced applied econometrics through two (broad) modules:A) Panel Data Analysis; andB) Microeconometrics.Panel data (or longitudinal data)run over time and for different observation units like individuals; households; firms; regions; countries; etc. The repeated nature of the individual-level data enables more realisticeconometric modeling(e.g.; incorporating dynamics at the individual level); morerobust estimation methods(e.g.; controlling for unobserved heterogeneity) and more powerfulstatistical inference procedures(e.g. testing for longrun purchasing power parity by pooling a number of countries). We will study the development of the linear regression model in panel data settings involving 'fixed' and 'random' effects; and the statistical propoerties of the relevant estimators.Microeconometricsis the study of economicbehavior of individuals or firmsb  y employing micro-level dis cr ete r es pons e data and regres s ion methods for panel data . The purpose of this module is to expose students to powerful econometric techniques frequently used inapplied microeconomic research and quantitative policy analysis.,,,,,,,,,
Foundations of Finance,ECO331,Finance is; in a real sense; the corner stone of the enterprise system – good financial management is vitally important to the economic health of all firms and hence to the nation and the world. Because of its importance; finance should be widely and thoroughly understood. The field is complex and it undergoes constant change due to shift in economic conditions. All of this makes finance stimulating and exciting; but challenging and sometimes perplexing. This course aims at creating a better understanding of the financial system.,,,,,,,,,
Valuation and Portfolio Management,ECO332,The goal of the course will be to help the students gain an appreciation of what is involved in: a) understanding what the investment opportunities are b) making good investment decisions and c) recognizing where investment problems and controversies arise and knowing how to deal with them,,,,,,,,,
Markov Decision Processes,ECO341/ECO541,"Dynamic programming techniques are usefully applied in dynamic models of economics, game theory, operations research and engineering. This course develops the Bellman's principle of optimality in some prominent formulations of the dynamic programming model with a finite/countable state space and discrete time. Some leading applications are discussed as illustrations of the solution methodology.",,,,,,,,,
Decision Theory,ECO503,The theory of rational choice permeates every discipline that touches upon human behavior. This course provides foundations for rational decision making in certain and uncertain environments. Various representation theorems are discussed and the associated decision rules are illustrated in applications. A constant theme in the course are the closely intertwined concepts of utility and probability.,,,,,,,,,
Research Methods,ENG599s,This course focuses on improving the skills of scientific reading; writing; presentation; and carrying out literature review for research. In particular; students practice scientific writing via short assignments. They are provided with exercises on research paper reading along with writing short critiques on research papers read. Students will practice on presentation skills and on conducting literature review.,,,,,,,,,
Entrepreneurial Communication,ENT411,Communication for entrepreneurs implies improving their communication skills; sharing their ideas; politely and persuasively. Strategies involve presenting them clearly and precisely whether they are communicating with their staff; team members; clients and colleagues. Having good communication skills is crucial to entrepreneurs at the time of project explanation; elevator pitches; presentation; training as well as many other areas where a person has to be convincingly interactive and engage in dialogues with people. Effective communication is indispensable at all stages of entrepreneurial success; such as to generate an innovative idea; to communicate it to rest of the world; to organise a team and to materialise it in successful; profitable business ventures. Since communication as a whole plays a decisive role in entrepreneurial success; the course substantiates how effective communication plays a key role whereby entrepreneurs achieve the desired levels of excellence in the development of their organisations. Entrepreneurs face unique communication challenges when communicating with initial investors; business partners; founding employees; first customers; and the media. Students will apply course concepts to their own ideas while developing communication competencies in a variety of entrepreneurial communication contexts.,,,,,,,,,
Entrepreneurial Khichadi,ENT412,This course familiarises students with fundamentals of entrepreneurship; and is relevant for students who are aspiring to be entrepreneurs or want to get exposed to concepts of entrepreneurship which will be beneficial to them in any job that they plan to take up after their graduation. The key elements of entrepreneurship will be introduced; such as entrepreneurship spirit that entails attributes such as flexibility; core values of ethics and integrity; passion to solve a real business problems; empathy; achievement orientation; customer focus; importance of collaborative approach; etc. Importance of teaming will be taught; that will cover topics related to building a team that has complementary skills; aligning goals of various team-members; hiring of the initial employees; leadership skills; etc. The course will also introduce key areas that are extremely important to build a startup; such as creativity and innovation; marketing; product design and prototype; competitive analysis; business model; business plan; go-to-market strategy and revenue models; managing cash-flows; valuation methodology; raising funds and preparing investor pitch; intellectual property and legal aspects; building sustainable business; etc. As some of these topics will be covered in greater depth in a few other core/elective courses; the objective will be to ensure that there are minimal overlaps with the content of other courses while ensuring that relevant connects are made to specific areas that are important for entrepreneurship. The course will encourageteam-based method of learning. In the beginning of the course; teams of 2-3 students will be formed which will develop ideas for a venture. They will then create a real world business plan based on this idea. Teams will present relevant portions of their business plan to the class for analysis and discussion.,,,,,,,,,
Entrepreneurial Finance,ENT413,"Entrepreneurial activity has been a potent source of innovation and job generation in the global economy. The life of an entrepreneur is exciting and dynamic. The challenge of envisioning a new product or service, infecting others with entrepreneurial zeal, and bringing a product to market can be one of the great learning experiences in life. All ventures require financing - taking investors' money today and expecting to return a significantly larger amount in the future. Typically the return comes from the venture's public offering, sale or merger. In the interim, the venture must manage its financial resources, communicate effectively with investors and partners and create value. This course is designed to provide the student with the ability to analyse the various processes and sources of seed and venture capital for funding a new enterprise – debt and equity. Planning for the funding aspect of a new venture is critical and this course will address the alternative sources of funds for carrying out the mission of the venture. Entrepreneurial Finance is primarily designed for students who plan to get involved with a new venture at some point in their career -- as a founder, early employee, advisor or investor. However, the course is also appropriate for students interested in gaining a broader view of the financing landscape for young firms.",,,,,,,,,
New Venture Planning,ENT415,"What tools do entrepreneurs need to successfully launch new ventures? What legal entity should a start-up adopt? How do entrepreneurs raise funds, establish a team and get their venture off the ground? What are the key ingredients of a successful start-up?
The curriculum is divided into 3 broad modules : Explore, Identify and Execute.
Module 1 - Explore : The first phase of Explore will engage with the personal dilemmas that entrepreneurs confront in the initial phases of their start up. It will further explore scanning for business opportunities with an entrepreneurial mindset. Examining new business models and some challenges involved in converting an idea into a business opportunity. Students will also understand how new markets can be created through entrepreneurial efforts.
Module 2 – Identify : The module uses the business model canvas (BMC) and the lean start up methodology to understand the importance of rapid prototyping and the need of a minimally viable product (MVP). A key lesson is the ability to rapidly prototype and move towards an MVP at the lowest possible cost and in the shortest time so that entrepreneurs can pivot on their initial ideas. This Module has lessons on bootstrapping and business model innovation.
Module 3 – Execute : Students also explore some issues on growth and profitability and the range of strategies that entrepreneurs have to choose from like market penetration, market development and related diversification. The class will discuss the process of how entrepreneurs form a venture (its legal identity) and the range of financing options available including bank loans, social media campaigns, venture funding (etc).",,,,,,,,,
"Creativity, Innovation, and Inventive Problem Solving",ENT416/ENT516,"The goal of this workshop style course is to trigger creative thinking in students and equip them with tools to not only brainstorm, but also to utilize existing knowledge to arrive at inventive solutions to problems. The course establishes basics of creative thinking and throws light on pyschological interia and various blocks to creative thinking. It then introduces formal brainstorming methods. The course then introduces methods for systematic problem solving through modeling of existing system; remodeling for increasing value; and structured solution search and ideation. As a part of the entrepreneurship minor, the course will encourage students to present and sell their inventions in a mock pitch-cafe.	",,,,,,,,,
Healthcare Innovation and Entrepreneurship Essentials,BIO571/ENT421,"The objective of this course is to introduce students to the Healthcare Innovation with a specific focus on Digital Health and Entrepreneurship. It covers Biotechnology, Medical Device and Digital Health/IT. The course will aim to generate healthcare startup ideas after identifying the gaps and opportunities in the Indian and US ecosystem.",,,,,,,,,
Environmental Sciences,ESC205,"At the end of the course, the student will be able to Understand the importance of environment and resource management Analyse and incorporate the essence of environment implications in their day today decision makin",,,,,,,,,
"Ecology, Evolution, and Environment",ESC207A,The goal of this course is to familiarize the students with basic concepts in Ecology; Evolution; and Environmental Science; develop in them an understanding of the current environmental issues and the need for biodiversity conservation.,,,,,,,,,
Effective Supply Chain for E Commerce,MGT310,The objective of course of ESCM covering E commerce and supply chain stream is to train students in functional and technical aspects of supply chain modeling for eCommerce businesses. Students will be able to leverage their information technology background along with supply chain knowledge gained through this course to bring specialized value proposition for prospective employers. This course will have series of rigorous practice assignments and projects from real industry business cases and will involve extensive hands on exercises dealing with real data; developing supply chain models and generating insights from several what-if scenario analysis. This will enable students an understanding of core modeling and optimization concepts to design effective supply chain network models for eCommerce businesses.Key emphasis will be to provide functional & technical knowledge to develop supply chain models at three levels – strategic; operational and tactical (to simulate several real industry business scenarios). Classroom sessions will include course book coverage; discussion of real business case studies and practical assessments,,,,,,,,,
Emerging Issues in IT Management,MGT311,The objective of course of EIITM covering emerging issues in IT management such as IT Governance; Risk Management;Infrastructure management ; Data Privacy; Data Security; Computer Ethics and Sustainability is to appraise students of larger impact of IT from management point of view.. Students will be able to leverage their information technology background to appreciate far reaching consequences of technology so as to address them and make this technology safe ; secure and without ill effects. The knowledge gained through this course will bring specialized value proposition for prospective employers. This course will have series ofrigorous practice assignments and projects from real industry business cases and will involve extensive hands on exercises dealing with real data; developing tools in labs that can and generating insights from several what-if scenario analysis. Classroom sessions will include course book coverage; discussion of real business case studies and practical assessments,,,,,,,,,
Linear Algebra,MTH100,This first level math course covers basics of linear algebra including vector spaces; matrix algebra; linear transformations; eigenvalues and eigenvectors; orthogonality; properties of symmetric matrices; positive definite matrices; and SVD. The course is developed with an aim to provide a strong foundation in linear algebra which will be used in the subsequent curriculum by both CS and ECE students. Time permitting; some applications of linear algebra in engineering disciplines will be introduced. The course also attempts to increase the mathematical maturity of students by introducing proofs and mathematical rigour.,,,,,,,,,
Probability and Statistics,MTH201,The course introduces students to probability theory and how it can be applied to statistical problems. They learn about probabilistic models that occur in common applications. They are introduced to probability mass and density functions and statistics like expectation; correlation; and covariance. This is followed by an introduction to sampling statistics like the sample mean and variance; statistical hypothesis testing; and parameter estimation.,,,,,,,,,
Multivariate Calculus,MTH203,This course covers topics in multivariable calculus; vector calculus and complex analysis. The course starts with an extension of concepts like limits; continuity and differentiation to functions of several variables. Partial differentiation is defined and applied. The idea of Taylor series is extended to functions of two variables. This is followed by a definition and application of integration in more than one dimensions: double and triple integrals. We then work with vector functions and develop the ideas of vector fields and differentiation and integration as applicable to vector calculus (gradient; divergence; curl; line and surface integrals; etc. The ideas of circulation and flux are developed and Green's; Stoke's and divergence theorems are covered. The final module of the course deals with complex numbers and functions and an extension of concepts of calculus to complex variables.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Differential Equations,MTH204,"This is the first course in differential equations (ordinary and partial) to be taken by students in their second year of undergraduate studies. The primary focus of the course will be on learning how to solve linear second order ODEs (homogeneous as well as non-homogeneous) and PDEs (wave, heat and Laplace) using different methods. The course will also extend to systems of linear ordinary differential equations including a discussion on qualitative methods for nonlinear systems.",,,,,,,,,
Discrete Structures,MTH210,This is a basic course in discrete mathematics; tailored for students in the computer science and applied math program. The course is intended to give students an exposure to formal mathematical language; the notion of proofs; and basic discrete structures such as graphs and permutations; as well as discrete probability and the probabilistic method.,,,,,,,,,
Number Theory,MTH211,This course is an elementary introduction to number theory with no algebraic prerequisites. Topics covered include primes; congruences; quadraticreciprocity; diophantine equations; Arithmetic functions; Lagrange's four-squares theorem and partitions.,,,,,,,,,
Real Analysis I,MTH240,This course covers topics in real analysis; single-variable and multivariable calculus; and vector calculus. The course starts with the real number system; then discusses sequences and series in detail. Single-variable calculus is covered in detail with emphasis on rigour and proofs. In the final section of the course; concepts and methods of multivariable calculus are covered but with less emphais on proofs.,,,,,,,,,
Numerical Methods,MTH270,This is a first course on Numerical Methods to be offered to 2nd / 3rd year undergraduate students. It covers basic topics in root finding; interpolation; numerical differentiation and integration and then moves to methods to numerically solve linear systems of equations as well as ordinary and partial differential equations. The theory involved in deriving methods as well as their error and stability properties is given due attention alongside an insistence on applying the methods; writing computer programs; obtaining numerical solutions and comparing them with analytical solutions whenever possible.,,,,,,,,,
Algebra,MTH302,Algebraic structures are of fundamental importance in mathematics and play an increasingly significant role in many application areas; including computer science and communication. This course introduces the main algebraic structures: groups; rings and fields. Fundamental concepts and properties of these structures are studied; both in the abstract and in relation to concrete families of structures. Furthermore; algebra is an excellent vehicle for training students in mathematical rigour; proofs; and problem solving.,,,,,,,,,
Real Analysis-II,MTH340/540,"Much of mathematics relies on our ability to be able to solve equations; if not in explicit exact forms; then at least in being able to establish the existence of solutions. To do this requires a knowledge of so-called ""analysis""; which in many respects is just Calculus in very general settings. Real Analysis-II is a course that develops this basic material in a systematic and rigorous manner in the context of real-valued functions of a real variable. Topics covered are: Real numbers and their basic properties; Sequences: convergence; subsequences; Cauchy sequences; Open; closed; and compact sets of real numbers; Continuous functions and uniform continuity. Lebesgue out measure; Lebesgue integral; sigma algebra of Lebesgue measurable sets.",,,,,,,,,
Complex Analysis,MTH341,"This course gives students an introduction to the theory of functions of complex variables. A function of a complex variable has some remarkable properties which do not hold true necessarily for a function of a real variable. In this course, we discuss many such properties. We do so by studying complex numbers and their properties; analytic functions and their derivatives, integrals and power series expansions; singularities and zeros of a complex function. The course also covers applications to physics and engineering.",,,,,,,,,
Fluid Mechainics,MTH375/575,Fluid Mechanics is an application area of the subject of Partial Differential Equations. In general terms; the subject of fluid mechanics deals with any physical problem that involves fluid flows. Some examples are flow of air past an aircraft; flow of blood in our vasculature; flow of air as we breathe; flows past submarines and ships; etc. This course will build from first principles; and after briefly considering the relatively simple fluid statics scenarios; willderive the integral as well as differential forms of euations that govern fluid dynamics. Different approximations : incompressible; irrotational; inviscid; and boundary layers : will be considered and the contexts in which each of these approcimations are useful will be clearly elaborated upon. At the end of the course; students will be able to solve problems analytically wherever possible and possess an intial framework to employ numerical methods when the problem complexity is too high to allow an analytical approach. The course will prepare the student to undertake a semester long or year lomg project in various application areas of fluid mechanics / computational fluid dynamics.,,,,,,,,,
Advanced Linear Algebra,MTH510,"This course is designed to enhance the understanding of the principles underlying the subject and to prepare students to take more advanced courses in Mathematics and engineering (e.g. Machine learning, Advanced Matrix Theory, Algebraic Coding Theory).",,,,,,,,,
Algebraic Number Theory,MTH512,An algebraic number field is a field obtained by adjoining to the rational numbers the roots of an irreducible rational polynomial. Algebraic number theory is the study of properies of such fields. This course will cover the following topics: number fields; rings of integers; factorization in Dedekind domains; class numbers and class groups; units in rings of integers ; valuations and local fields; and if time permits decomposition of primes; and zeta functions of number fields. These tools provide solutions to several problems which are elementary to state but surprisingly difficult to resolve; including Pell’s equation; quadratic reciprocity; the two squares theorem and the four squares theorem (every positive integer is a sum of four square integers).,,,,,,,,,
Abstract Algebra II,MTH513,This course discusses factorization theory in integral domains; and basic properties of solvable groups; nilpotent groups and rings with chain conditions.This course also introduces Galois Theory; which was initiated by Galois in the 19th century. As applications of Galois Theory; solvability of polynomialsby radicals; and classical straightedge (ruler) and compass constructions will be discussed.,,,,,,,,,
Coding Theory,MTH514,This course deals with the design and study of error-detecting and error-correcting codes for the reliable transmission/storage of data over noisy communication channels.,,,,,,,,,
Topics in Number Theory,MTH518,The aim of this course is to introduce various topics in Number Theory such as Farey fractions; continued fractions; partitions; quadratic forms and geometry of numbers.,,,,,,,,,
Introduction to PDE,MTH550,Partial differential equations are ubiquitous in the sciences and engineering. One encounters them in various contexts : from relatively simple and well studied scenarios such as modeling a vibrating string or membrane using the wave equation to problems as complicated as modeling fluid flows using the Navier Stokes equations : a system that is yet untractable analytically. The present course is an advanced undergraduate / introductory postgraduate course in the subject. It starts with a quick review of first order linear PDEs; classification of second order equations; initial and boundary conditions and the notion of well posed problems. The three most prominent linear PDEs: Wave; Heat and Laplace are then dealt with in detail. Convergence and completeness of Fourier series are studied before taking up a study of harmonic functions. This is followed by a detailed look at Green's identity and Green's functions. Distributions and transforms (Laplace and Fourier) are studied before ending the course with an introduction to nonlinear PDEs wherein we study shock waves and solitons; take a brief look at calculus of variations and bifurcation theory and take up an application to studying water waves.,,,,,,,,,
Convex Optimization,MTH377/MTH577,"Convex optimization problems constitute an important class of optimization problems for which there is a complete mathematical theory as well as efficient algorithms. As such they have been usefully applied in diverse areas of economics, operations research and engineering. The philosophy behind the course is that an initial investment in structure theory of convex sets and functions yields rich dividends in terms of a better vision of convex (and even non-convex) optimization problems.",,,,,,,,,
Numerical Partial Differential Equations,MTH598,This course will be provide an overview of two standard numerical methods for partial differential equations (PDEs). The focus will be on essential theoretical analysis as well parabolic and hyperbolic partial differential equations. This will be followed by a short foray into linear system solvers and finite difference scheme for two-dimensional Poisson’s (elliptic) problem. The second part of the course will deal with finite element methods exclusively for elliptic problems. The core ideas in functional analysis; variational formulation; error analysis; and computer implementation will be presented for the one-dimensional problem. This will be followed be a more practical treatment of two-dimensional problems. The last part will consist of an overview of the specialized topics of mixed and adaptive finite element methods.as computer implementation. The first part will be on finite difference methods. Key numerical schemes and underlying theory will be provided for one-dimensional,,,,,,,,,
Variational Calculus and their Applications,MTH599,"This course is designed as an introduction to the theory and applications of Variational Calculus to problems in geometry, differential equations and physics, particularly mechanics. This course assumes very limited knowledge of vector calculus, ordinary differential equations and basic mechanics. Many new applications in applied mathematics, physics, chemistry, biology and engineering are included. This course will serve as a reference for advanced study and research in this subject as well as for its applications in the fields of industrial control systems and instrumentation engineering, nanoscience and software development.",,,,,,,,,
Introduction to Psychology,PSY201,This course is about how and why people think; feel and behave. Students will learn and apply theories of self; mind; and behavior. This course is an experientialcourse. Students will learn to think more critically and scientifically about what makes people think; feel; and behave. This course offers students an engaging introduction to the essential topics in psychology. Throughout this study of human behavior and the mind; students will gain insight into the history of the field of psychology; as well as explore current theories and issues in areas such as cognition; motivation; and wellness. The main goals of this course are to acquaint students with different areas contained within psychology; to provide them with some of the major concepts of each area. Basic topics that would be covered would be historical and contemporary psychology; including various perspectives: biological; Psychoanalytic (Freudian); behavioral (Skinner; Pavlov; and other theories); humanistic; Jungian; cognitive; Transactional analysis. Some practical topics like Memory; Personality; cognition; Motivation; mindfulness; Cognitive behavior therapy and basics of positive psychology would also be covered. Students will also learn the concepts of Intelligence. Computational Psychology; Computational Neuroscience and Technological research in interventions would also be explored.,,,,,,,,,
Positive Psychology,PSY202,“Happiness is not an end state; but rather something you work towards your whole life. Thus; you can be happier each day. Even happiness is a journey; not a destination.”- Martin SeligmanIn this course students will not only study but actually imbibe this journey.The mentioned course would be based on the key concepts of Positive Psychology; its principles; concepts and experiential practices. The course focuses on the psychological aspects of a fulfilling and flourishing life. Topics include happiness; self-esteem; empathy; friendship; love; achievement; creativity; optimism; conflict resolution; gratitude; positive leadership; hypnosis; mindfulness; meditation and humor.Positive psychology is “the scientific study of optimal human functioning” and was first introduced as a field of study by Dr. Martin Seligman in 1998; when he was President of the American Psychological Association.The underlying premise of positive psychology is that you can learn to be happier just as you can learn a foreign language or to be proficient at golf. This rapidly growing field is shedding light on what makes us happy; the pursuit of happiness; and how we can lead more fulfilling; satisfying lives. As Martin Seligman states that it is the Science of Positive Psychology that would help the individual to study the self and the society and to help him realize his maximum potential; with which he would be able to lead a happier personal; academic; social and professional life.This course is designed to explore the concepts; research behind the concepts; techniques; factors and exercises to enhance optimism; decrease stressors; and significantly increase wellbeing. The format of the course will be experiential; workshop based and interactive along with assigned lectures and readings to create an environment conducive to learning new concepts; skills and applications.,,,,,,,,,
Cognitive Psychology,PSY301,In this introductory course we investigate the mechanisms of human thinking. Particularly we will explore the basic mental processes such as how our brains let us “view” and “understand” the world; how our perceptions depend on our current state of attention; and how our memories and perceptions can change over time with our own experiences. In this process of better understanding the human mind; we’ll discuss language abilities and the mental representation of concepts and schemas. We’ll also look at various actions that people take in different situations—from simple visual illusions; to strategic higher order decisions to grave mistakes in higher-level decision-making. In this context we will discuss how these “successes” and “failures” provide unique insights into the mechanisms of human thinking.,,,,,,,,,
Social Psychology,PSY302,"The course is an exploration of the prevailing theories, topics and empirical methods in the study of Social Psychology. It will specifically focus on five main areas: (1) the science of Social Psychology and its theoretical foundations, (2)research methods used in Social Psychology research, (3) the individual in context to the social world, (4) an individual's impact on another individual or group/s, and (5) The dynamics of social relationships.",,,,,,,,,
Attention and Perception,PSY305,Attention is one of the major cognitive processes responsible for making us achieve our day-to-day goals. This course-work aims to introduce fundamental principles of how attention helps us to perceive the world around us. Students will be introduced to various experimental paradigms and theories (both classical and contemporary) used to study effects and limitation of attention on human behavior and perception. With the balanced practical sessions and assignments students will develop a fundamental understanding of designing behavioral experiments to study various cognitive processes.,,,,,,,,,
Learning and Memory,PSY306/506,"The course will introduce the students to the stages and mechanisms by which environmental information is learned;how it flows from sensory receptors through sensory, short- term to long-term memory, its storage and retrieval. Lectures and discussions will draw from published scientific evidence mainly in the areas of behaviour, neuroimaging and neurophysiology to elucidate the organization and implementation of memory in the brain that influences various aspects of human cognition. An additional component will involve computational analysis of experimental datasets in this field to draw brain-behaviour inferences pertaining to learning and memory. The course will engage students to develop analytical thinking based on experimental data towards building capacity for original ideation in this area of cognitive science that is relatable to science and technology.",,,,,,,,,
Cognition of Motor Movement,PSY308/508,"Motor movement corresponds to various kinds of movement that we execute in everyday life like hand movements (reaching, grasping), eye movements, walking etc. A comprehensive understanding of human motor system would help in engineering better tools, systems, robots, neuroprosthetics etc. This course work is designed to start with the introduction to the human motor system, different types of action or movement like; grasping, reaching, spatial navigation, eye-movement etc. This will be followed by understanding of the mechanics, neurophysiology and psychology of action planning and execution.",,,,,,,,,
Introduction to Sociology and Anthropology,SOC101,"This course will introduce learners to the basic nature of society and its impact on an individual through the lens of Sociology and Anthropology. It will focus on some foundational sociological/anthropological concepts such as social structure, environment, social organization, social institutions, social role, social relations, social change and social problems. All these key terms would be examined with reference to modern social theories and methods, which barely 200 years ago, helped shape sociology and anthropology as unique human disciplines. Historically, both these disciplines were distinct from the earlier disciplines of economics, philosophy and psychology because they directly confronted data from social life and collective social processes in the ‘field’, in order to critically analyze, and discover patterns and meanings in them. The enormous diversity of people around the globe could thus be organized conceptually and theoretically through statistical surveys, questionnaires and interviews, not only to make sense of the basic oneness of humanity but also to shape policies and programmes to help improve the fast deteriorating social conditions under modern urban and industrialised ways of life. The irreducible subject matter and unit of study for sociology and anthropology therefore was neither the abstract atomized individual nor the crowd but the empirical relationship between the individual and his/her social context which had to be unearthed and examined afresh by the scholar without getting misled by more obvious, subjective explanations. Students of the course will be led through a variety of experiences of observable social phenomena such as caste, class, gender, race, sexuality, religion, globalization, poverty, crime, work and many such others, in order to arrive at the basic scientific principles of society.",,,,,,,,,
Contemporary India: Sociological Perspective,SOC202,"This course will systematically familiarize students with some of the important vignettes of a complex and highly diverse country–India. Using a historically contextualized approach to understand the shaping of ‘contemporary’, this course will provide an overview of the functioning and transformation of India in the face of global social change. Grounded in sociology but drawing upon recent developments in the other social sciences as well, this course will critically examine the transformations in India’s social, cultural, political, economic and technological realms and will critically interrogate the developmental issues and fault lines facing Indian society both from the vantage point of contemporary and indigenous sociological theory.",,,,,,,,,
